,Country,year,GWP_Imports,GWP_Exports,Employment_pba,GWP_pba,ValueAdded_pba
0,AT,1995,55610651244.5,13769498289.2,4836.2842436,63646248719.6,184292.389125
1,BE,1995,87827273370.7,43266376981.6,4891.29405411,92915950162.5,220205.904501
2,BG,1995,6837777113.64,21947073306.1,4875.86761584,62397869112.2,14519.7813098
3,CY,1995,8981644919.76,11043375816.9,506.418338696,14873225329.6,7594.07022184
4,CZ,1995,22017043769.7,33216391739.6,6740.10200639,130876632936.0,45982.9229808
5,DE,1995,395683790766.0,158375004394.0,51285.0559535,795575328974.0,1976773.17839
6,DK,1995,48698250932.1,16277735912.3,2647.62020033,56438746376.8,141443.47253
7,EE,1995,4267108174.04,8759973386.53,919.29367349,19916200929.2,3417.95658673
8,ES,1995,152543533500.0,39859085589.2,19208.3950476,280367165297.0,469887.091119
9,FI,1995,39526728068.8,17460281183.5,2378.1568327,60961946933.3,102588.722209
10,FR,1995,367685998992.0,110981509133.0,24235.9524097,366983018933.0,1224003.59511
11,GR,1995,41583226610.3,20800293528.1,3567.68532554,193970694119.0,104653.026815
12,HR,1995,10394942330.4,4710559281.94,1824.00126903,22179972468.3,17138.8729118
13,HU,1995,24243621829.7,15798954994.8,4667.35902585,52101768558.6,35503.5994091
14,IE,1995,16752875618.9,46296921004.8,3693.64738076,99031003592.0,52868.9480057
15,IT,1995,302142109211.0,76888977660.5,24190.0812402,357708622925.0,898087.689903
16,LT,1995,6760410400.55,3961755422.9,1967.847903,19203683134.6,5121.74176514
17,LU,1995,1485994663.13,3216311989.47,337.325926932,10974050926.5,16504.931515
18,LV,1995,3311214871.99,3262828787.99,1338.30334096,11830140175.4,4131.79648815
19,MT,1995,1292394200.75,495631848.86,333.164466589,2541084793.38,2826.70013304
20,NL,1995,115559405844.0,153540501152.0,8723.93013885,438101672101.0,345785.157517
21,PL,1995,44872132116.7,60656558106.8,20243.6006273,352021036624.0,108787.279411
22,PT,1995,64904172551.1,12840089392.5,5371.34274742,56006875256.2,90306.0034586
23,RO,1995,9001319960.31,16142271505.8,15079.7399766,95232697854.4,28789.7297622
24,SE,1995,74345976909.8,15668004375.1,3994.66191122,54551434524.3,204363.197179
25,SI,1995,9899321516.44,5261524385.62,1133.30287113,16549748968.7,16325.3600379
26,SK,1995,20834002256.6,6677438713.24,3046.30575038,38356359552.6,15322.7790716
27,GB,1995,374585820001.0,108112350055.0,35428.8026574,450033198020.0,1025750.63111
28,US,1995,1694271971500.0,442752726261.0,213205.874257,4666561999260.0,5840786.69725
29,JP,1995,780327916914.0,170803445408.0,48802.5505843,1269032518020.0,4165991.98158
30,CN,1995,221653794738.0,2445995538500.0,1414192.91226,12714067628100.0,561532.849863
31,CA,1995,386713307845.0,230545391955.0,14022.3493779,614361395357.0,463259.221176
32,KR,1995,253374081684.0,144132326980.0,37777.1689064,668809421008.0,433165.885811
33,BR,1995,167412117490.0,64674843787.0,84620.8183596,849160454561.0,594841.606768
34,IN,1995,81297484730.4,452149539131.0,903992.381652,3820955190010.0,284237.553362
35,MX,1995,124991713579.0,153816904864.0,70816.7634284,787069319472.0,275284.791255
36,RU,1995,230127485369.0,645505613678.0,67493.5927169,1952782803730.0,307564.860364
37,AU,1995,132841925617.0,171910662947.0,10572.269327,718440480895.0,299001.803031
38,CH,1995,100292783909.0,12820439537.2,4370.88516964,37844608690.6,269986.026816
39,TR,1995,60084643847.8,54782194911.3,28658.3655547,399384470196.0,178328.048781
40,TW,1995,180181909482.0,119501875603.0,14931.9830752,299969414122.0,210361.5928
41,NO,1995,102113141598.0,32108952944.7,2354.44090948,72946553237.3,116231.385495
42,ID,1995,156723417242.0,189131977160.0,185240.90662,837387640263.0,180776.787092
43,ZA,1995,24961982074.8,70212387638.3,15167.2637758,525378178020.0,120362.349616
44,WA,1995,1661240223320.0,1272597836720.0,768485.610168,2771422805080.0,684972.540024
45,WL,1995,209260807394.0,364196651273.0,122059.963745,1262362420010.0,636939.611434
46,WE,1995,66941522420.6,223521289494.0,211852.35252,625238285129.0,91536.1723545
47,WF,1995,151335368082.0,371093440412.0,509605.962531,1627771775800.0,277906.42023
48,WM,1995,332613101850.0,768868125279.0,44740.1822628,2471273002510.0,451893.708879
0,AT,1996,54300572241.7,14020408105.2,3316.05,55894314466.8,186866.805776
1,BE,1996,75133827724.1,52784376576.0,3790.77762091,100387653584.0,219891.046034
2,BG,1996,8916663980.09,26916184108.1,3119.8,64621068862.5,9683.20755931
3,CY,1996,8156749068.86,3154799664.36,263.474860272,7289034423.9,7887.83646363
4,CZ,1996,63208836870.2,33530016181.1,5010.39293115,126819268327.0,53074.3419812
5,DE,1996,439223549564.0,172296758525.0,37958.0,817867431979.0,1966853.09136
6,DK,1996,35890100581.8,20942971971.6,2714.7,71875355526.2,147777.677538
7,EE,1996,6598436134.23,4825399783.82,642.5,18335570489.4,3762.51082683
8,ES,1996,147597234823.0,56239620985.1,12827.2994597,251766184205.0,506127.413399
9,FI,1996,37345151786.3,18560504310.8,2060.55977909,62352980735.2,104066.042854
10,FR,1996,357263247423.0,101028531931.0,21266.0,357068851612.0,1264680.556
11,GR,1996,44199542330.6,23542006323.7,3876.8,169684596933.0,114876.059777
12,HR,1996,7564963188.79,4616507471.44,1545.1909068,17776488712.8,18674.0598264
13,HU,1996,53334929664.7,14980073455.0,3800.6,54367272094.9,36747.8659057
14,IE,1996,19219767894.4,26025254305.9,1189.49309757,49729632118.0,59686.8042526
15,IT,1996,304021293979.0,89553586328.9,20585.399993,393369354339.0,1033695.49851
16,LT,1996,3542709085.46,5488681960.2,1528.9985456,22855031510.8,6602.08223738
17,LU,1996,3137552615.07,3092789910.08,159.074171503,4720636511.42,17150.6336717
18,LV,1996,2643353652.5,3055624670.25,1105.2,11985333419.5,4700.92069671
19,MT,1996,4565219979.08,1071023312.25,128.367587065,2271529716.91,2997.69373962
20,NL,1996,130857460624.0,88918985285.8,6850.2,187527406395.0,354788.168475
21,PL,1996,84431727033.7,80254571075.8,15212.3999441,377358298756.0,126166.214138
22,PT,1996,37475809369.9,10043981342.3,4481.15071837,55912239512.1,96586.4419458
23,RO,1996,10659774012.2,32941786069.8,10778.0,137781707768.0,29273.2619273
24,SE,1996,49539379344.3,19864933952.5,4203.19877906,60411204016.7,229775.327235
25,SI,1996,11718770758.1,3259222125.88,909.3,13127923962.2,16936.87378
26,SK,1996,13881032445.8,13941976106.1,2243.29998572,44760232612.8,17054.0486535
27,GB,1996,289097812511.0,157380735340.0,26460.716553,549207615778.0,1114816.25471
28,US,1996,1142040641650.0,491348884041.0,128167.5,4577747956440.0,6358290.93487
29,JP,1996,609576366567.0,169137739387.0,66915.1,1074314415650.0,3806973.66919
30,CN,1996,185742148137.0,749758491712.0,563523.5,3982917319290.0,680277.986025
31,CA,1996,110356436805.0,181520750476.0,13291.9899161,524788275494.0,496670.583647
32,KR,1996,208887894063.0,69847342476.4,20470.5,372189834442.0,480559.997276
33,BR,1996,79121742511.5,45761808767.6,72216.3,632161245308.0,669152.01547
34,IN,1996,91990972648.9,145669612844.0,343830.7,1397605826710.0,310031.44491
35,MX,1996,69911262973.2,69467196773.4,31719.4,352390026251.0,323677.228442
36,RU,1996,84980771719.5,775861552044.0,59563.113447,1785053523260.0,311003.686153
37,AU,1996,92950385972.8,143876247571.0,7763.31059055,432161757390.0,342243.419309
38,CH,1996,79446494245.5,13672693630.7,3675.1,41672025987.9,268148.765307
39,TR,1996,130546822529.0,28091156401.0,19975.5,208901072070.0,196884.589386
40,TW,1996,135160578551.0,82576355153.6,9194.20639403,158267338908.0,223295.660105
41,NO,1996,41850841708.3,40611893087.7,2133.62941163,74675475325.9,128786.247049
42,ID,1996,111249256043.0,112493686255.0,80099.9,421136528588.0,209483.17449
43,ZA,1996,19863732835.4,110803376219.0,12991.3140699,292768045084.0,117936.61083
44,WA,1996,604283644133.0,805499919383.0,304700.0,1687811816140.0,772551.491557
45,WL,1996,168430302018.0,294246372612.0,87048.9793588,857202079448.0,679899.9912
46,WE,1996,38164443795.5,217055282122.0,149957.0,601407421869.0,92920.3731959
47,WF,1996,95517214864.0,468154981856.0,226434.0,1293999467700.0,309562.375044
48,WM,1996,185441281245.0,491252049708.0,19411.847816,1196541614780.0,520958.223562
0,AT,1997,55627973650.3,15838197815.9,3099.08,57863930853.2,187642.210538
1,BE,1997,72864723667.0,58418793048.8,3800.7,101850011488.0,222843.693906
2,BG,1997,8486677728.07,23658895012.1,3040.3978083,63574151205.5,9978.96986263
3,CY,1997,9219350091.4,3856771598.56,268.074980674,7559539008.19,8409.52858336
4,CZ,1997,31248641714.6,34446870280.7,4908.077,126226376038.0,54832.9091763
5,DE,1997,400838391985.0,187482234189.0,37969.0,838137777653.0,1950589.06066
6,DK,1997,37032521244.2,24865104912.0,2738.9,83792224192.0,153032.328869
7,EE,1997,5544819020.82,6853273320.3,615.5,18980126983.5,4539.39921205
8,ES,1997,136673908667.0,61849754381.8,13131.4,241156048555.0,520371.836154
9,FI,1997,42686452935.5,22575624140.4,2114.94690248,70504848394.7,111910.775508
10,FR,1997,251165682188.0,111395619145.0,23822.5841678,367588773117.0,1281206.64287
11,GR,1997,35957451818.6,21736911532.7,3924.86861364,168424476932.0,126234.391249
12,HR,1997,13273495260.5,4734809849.27,1556.6,17771202389.8,21036.0398169
13,HU,1997,25298194874.0,15333193468.8,3702.7,56049411758.0,41708.0788087
14,IE,1997,35526539779.6,28565284418.0,1285.8,49758171859.4,73036.6910167
15,IT,1997,282874402021.0,88319867444.8,20705.6,385064008246.0,1095161.62345
16,LT,1997,10882585855.5,5959444646.56,1522.29883518,24006889211.0,8923.1092522
17,LU,1997,3296683626.4,3329594571.84,162.5,4529953007.8,17400.0481716
18,LV,1997,9226953559.66,3141467725.92,1050.24336458,11773421130.1,5751.18703662
19,MT,1997,3265372003.54,1303295740.53,140.16,2530939027.72,3330.05353033
20,NL,1997,125471806595.0,89306354260.5,6810.72835405,192022729704.0,367539.941085
21,PL,1997,51825269745.2,83706092445.3,15417.1,391700581041.0,140527.508582
22,PT,1997,34763931541.8,10155177643.2,4490.1,53875729467.7,103194.519532
23,RO,1997,21137100429.4,34063561249.1,10256.0,138818217522.0,31603.9431165
24,SE,1997,59852925745.8,22433322890.0,4138.7,65883860340.1,236460.625706
25,SI,1997,8306664005.62,3568844601.95,899.799493133,13935259392.9,18310.5034508
26,SK,1997,25698616671.9,14714667682.3,2321.1,43867655557.8,19327.1414793
27,GB,1997,307597008331.0,134561257754.0,27201.321288,560378874917.0,1373994.91422
28,US,1997,1174581535430.0,525645737182.0,130145.1,4653391295570.0,7563978.83598
29,JP,1997,555437389947.0,166391870708.0,67154.8,1079179723540.0,3893063.67888
30,CN,1997,189723347504.0,796111564512.0,571429.899999,3985323111090.0,847973.089016
31,CA,1997,130913283233.0,193939670317.0,12018.53,530908112175.0,577602.737767
32,KR,1997,190861935087.0,87152840859.6,20857.4,399260937678.0,502429.491126
33,BR,1997,98470188864.3,44837637442.3,70414.5,655624487395.0,777347.756279
34,IN,1997,86615310421.4,155587219395.0,347060.1,1441621226560.0,375260.178454
35,MX,1997,87218350410.6,69814083216.0,33804.1,370969009285.0,441283.960266
36,RU,1997,148128466969.0,764527591879.0,59620.8,1749203173600.0,359633.142337
37,AU,1997,102454898664.0,144834735730.0,8322.9,440729094419.0,384898.140419
38,CH,1997,83716372691.8,16125644501.0,3272.4,41407062661.1,260245.868488
39,TR,1997,85343001893.1,34571154790.3,20449.7,225466036449.0,230665.858142
40,TW,1997,134548970495.0,84178408989.6,9474.7,172484225459.0,262772.431466
41,NO,1997,41482292481.7,40603263718.5,2204.0,76757826769.1,142289.78208
42,ID,1997,95580987479.1,117169022029.0,85691.5,432006743271.0,222563.02235
43,ZA,1997,24927562516.4,118867874398.0,13271.6999993,308900074104.0,136718.589758
44,WA,1997,709144931339.0,818382351516.0,311522.0,1684993823560.0,861982.890066
45,WL,1997,211022447787.0,275427226860.0,90780.0,879361450347.0,831002.520783
46,WE,1997,99411220243.7,175970303505.0,149480.0,547566777646.0,106904.62296
47,WF,1997,116136684477.0,417882485320.0,232371.0,1239299077300.0,353467.264223
48,WM,1997,228550793288.0,535719143343.0,19676.3,1242843439230.0,603096.855468
0,AT,1998,56035274819.4,17259346616.3,3552.05,59038222709.6,194679.003216
1,BE,1998,71524759537.8,56973376898.3,3909.6,100896632872.0,230597.315382
2,BG,1998,11668261741.9,21391648051.2,2894.1,62518057523.4,13407.3950709
3,CY,1998,7333558777.38,3302438666.94,272.549987686,7634450715.44,9133.76821504
4,CZ,1998,29258945546.8,33578989932.5,5095.87813785,125185241084.0,59591.0255074
5,DE,1998,427405943602.0,181410915122.0,37947.0,797948435537.0,1997129.09096
6,DK,1998,39060152932.0,21392885875.1,2588.07586144,74330716444.1,157872.889659
7,EE,1998,5456399306.78,7103704662.44,609.9,18608191613.2,5050.32254634
8,ES,1998,143960492361.0,69104155333.7,13611.6,263427855783.0,552337.749002
9,FI,1998,39766798112.2,20600762858.0,2197.2,69159668839.4,119559.024157
10,FR,1998,278621366501.0,111460468753.0,24011.0862664,364236014135.0,1340781.29536
11,GR,1998,43169247892.0,20837755245.0,3909.6,169301376748.0,128828.668085
12,HR,1998,10123109646.8,4962341630.77,1566.09985219,18422843431.2,22716.1745093
13,HU,1998,29256244043.9,17037230643.9,3660.9999209,55685538383.5,43445.5399864
14,IE,1998,32711415133.8,31673471713.0,1362.9,51391159453.4,80386.8417613
15,IT,1998,307557046867.0,92187659237.8,20809.1,391769512122.0,1132892.8026
16,LT,1998,10414739711.1,5398578921.97,1534.1,25006089441.6,10025.6364385
17,LU,1998,4191605955.76,3074957779.18,164.664449602,4670199110.41,18025.7579975
18,LV,1998,8348913382.85,3144641359.09,1033.9,11902249408.3,6386.16934232
19,MT,1998,2618365844.7,1391852512.49,143.959924058,2515783899.17,3546.26821548
20,NL,1998,132353973397.0,86182183262.4,7039.7,188069295697.0,390704.255667
21,PL,1998,70606983726.2,86415260747.5,15301.2,374721354292.0,155816.422767
22,PT,1998,36211134646.7,10798788318.8,4585.0,56969053876.6,110563.028388
23,RO,1998,21799404179.2,26585209889.5,10880.9,124767855027.0,37443.5900016
24,SE,1998,60008179638.5,22255303709.2,4062.79999852,60294313847.7,241557.533824
25,SI,1998,9170544473.14,3547308846.5,920.3,14304892131.2,19752.151246
26,SK,1998,22978625349.6,11580458712.4,2313.2,44760692431.1,20354.6166989
27,GB,1998,316760521972.0,130448044580.0,27728.7,543114607376.0,1473154.53496
28,US,1998,1300356644050.0,494712245284.0,118831.7,4768985049240.0,8083861.38614
29,JP,1998,455039171181.0,189194108599.0,67828.6,1065713401450.0,3596922.43362
30,CN,1998,183723098873.0,756865617480.0,576250.6,4000945184950.0,917902.613994
31,CA,1998,136149539016.0,226558061690.0,12699.475,539019815769.0,565535.495735
32,KR,1998,105013616665.0,142283228321.0,21150.8,420474456450.0,341924.754972
33,BR,1998,98104384594.5,48451685461.2,71760.7,680127420396.0,761587.151274
34,IN,1998,104113236140.0,170718158965.0,350400.758624,1482668262840.0,383150.690835
35,MX,1998,97749055645.4,67670739831.5,35787.4717561,388273510366.0,469627.79713
36,RU,1998,119982195001.0,797084297099.0,59122.2,1629823104440.0,243406.003905
37,AU,1998,94314915675.0,140869684132.0,8390.3,451166124074.0,347496.041848
38,CH,1998,80636417031.3,16243420235.9,3638.9,42070060221.1,271054.82533
39,TR,1998,84254638750.7,37019106100.7,20442.0,238261907686.0,246134.803056
40,TW,1998,131099217510.0,79350114413.9,9419.92474542,174412585122.0,247596.222927
41,NO,1998,42790066815.4,37952646503.6,2263.0,78979257164.8,137510.851292
42,ID,1998,77600210799.6,159309492404.0,86943.5999998,441060330094.0,99592.9052171
43,ZA,1998,21181535298.0,128112960955.0,13127.6,325572067474.0,124799.723668
44,WA,1998,625537681559.0,764896013707.0,320948.0,1681116926650.0,760664.606989
45,WL,1998,225265049685.0,297453133903.0,90656.0,948353262446.0,851419.661615
46,WE,1998,88774631129.5,168068658560.0,149337.0,534682166172.0,100461.457963
47,WF,1998,129165588397.0,355740717351.0,238823.989232,1231086236200.0,358717.131043
48,WM,1998,226605648764.0,476174720799.0,20430.0,1256656939870.0,590795.391236
0,AT,1999,55010681679.8,17262780658.6,3648.76,58237474170.4,203771.323025
1,BE,1999,75821440777.0,62962513789.4,3894.3,111095797578.0,242213.39096
2,BG,1999,15073898980.2,20646338989.5,2756.99992714,58736711421.1,12795.1552824
3,CY,1999,7031407530.5,3383580578.13,276.924994591,7967098087.18,9842.59754811
4,CZ,1999,27514561382.9,33960127852.2,5079.956,120572716559.0,61149.4058272
5,DE,1999,450501630149.0,180982805179.0,38407.0,796620113790.0,2058679.2755
6,DK,1999,37488025173.8,22479548339.2,2339.9,70824633745.6,166977.110352
7,EE,1999,5655875004.9,7044236634.86,616.4,18084151223.3,5412.83397869
8,ES,1999,156968151661.0,72826904821.7,14158.1,268485617203.0,595491.383279
9,FI,1999,38553489367.7,21164354825.2,2268.44213904,65301959151.5,126866.65514
10,FR,1999,272798646229.0,108691125863.0,19624.0,381061672925.0,1400454.29249
11,GR,1999,50153925634.6,24158241687.7,4071.96224122,171864901035.0,139945.874058
12,HR,1999,11644219313.5,5933826956.52,1600.79938568,20184741284.8,21955.6591105
13,HU,1999,30644782001.7,16834867145.6,3725.9,57524911451.2,46043.6979508
14,IE,1999,36531803606.2,31202718633.1,1412.49254304,53640595742.6,92632.8004183
15,IT,1999,317435258694.0,85465079931.8,20973.4999998,397850683748.0,1174692.60263
16,LT,1999,9355002507.79,4113386463.94,1532.39255826,24768062697.4,10294.4010659
17,LU,1999,5430678557.36,2961075951.31,162.998903469,4588121009.09,20862.5285074
18,LV,1999,9501894287.05,3251857233.62,964.699999703,11906879563.4,7060.66176803
19,MT,1999,3087276541.52,1111306637.89,146.15,2542857833.73,3840.96683969
20,NL,1999,131812266091.0,87237886860.0,7349.9,188609809428.0,419295.914609
21,PL,1999,65118240613.6,69343119470.1,15185.0,352222362397.0,159533.353207
22,PT,1999,37895660988.2,11724881394.9,4927.1,61345702206.7,119556.803312
23,RO,1999,14818547101.0,25908469003.7,11105.5840492,108735263980.0,33949.5097128
24,SE,1999,61294467026.0,22554816282.3,3986.7,61616587804.2,257150.724878
25,SI,1999,10372322217.1,3209894772.86,927.197001973,14512974302.8,21308.9717643
26,SK,1999,17525210583.2,11095791597.2,2246.5,43294192835.0,19533.1183316
27,GB,1999,325781453412.0,133477154962.0,28076.3,545225204226.0,1578431.09498
28,US,1999,1364948384640.0,512285546280.0,135189.5,4799533193320.0,9036088.38431
29,JP,1999,487549430849.0,166385566828.0,67333.0,1035338042090.0,4280426.55478
30,CN,1999,218283984742.0,756034840638.0,560603.7,4185885622610.0,1026462.90819
31,CA,1999,144800155160.0,223583592601.0,12976.395,551995144348.0,636521.361779
32,KR,1999,141317955669.0,97044066992.4,20001.6561503,372484758554.0,466798.700124
33,BR,1999,78388551531.4,67133506706.7,72346.6,686393704745.0,557394.807664
34,IN,1999,130408976819.0,155374558305.0,340595.8,1505577927150.0,433281.243377
35,MX,1999,105218699811.0,71664161356.5,36711.8,400799044864.0,563176.047102
36,RU,1999,93415133736.2,886564635387.0,58457.9,1621640690350.0,185121.859909
37,AU,1999,108023901769.0,164890446909.0,8571.1,505150542810.0,400232.645717
38,CH,1999,80093632669.5,16842698367.2,3676.9,43285802390.2,280098.914801
39,TR,1999,81122902209.4,39007547240.4,20952.4,243190603828.0,240566.695437
40,TW,1999,132969849347.0,85321821663.0,9170.8,185391644024.0,278755.589087
41,NO,1999,37028543123.1,40800056220.1,2332.1,81104733240.2,152265.954805
42,ID,1999,73772058787.7,135948185319.0,87672.1,439434494303.0,153664.560671
43,ZA,1999,22420901125.8,119093725551.0,12750.7,331382311549.0,130188.107935
44,WA,1999,553124787958.0,809602675224.0,366697.0,1707382994670.0,831881.522716
45,WL,1999,219838967248.0,292258275438.0,92383.0,906425511765.0,863817.625758
46,WE,1999,54838550316.2,177149091229.0,148994.0,519715215771.0,85391.1718666
47,WF,1999,130791168060.0,375894466454.0,245646.0,1200173041430.0,383498.124711
48,WM,1999,244091540179.0,499400735636.0,20668.2,1234067817830.0,674193.721402
0,AT,2000,49317638513.3,17911522924.6,3689.77,57218582600.6,213078.852087
1,BE,2000,78683222612.2,68209570745.7,4033.09999994,108580406868.0,255743.126398
2,BG,2000,8633851396.89,15343113445.1,2819.5,53355407197.8,14341.7060349
3,CY,2000,16353956756.7,3740149765.91,278.583101533,8156427403.22,10786.9911667
4,CZ,2000,34241441778.5,33914762683.5,4899.702,114894514707.0,66937.521099
5,DE,2000,423544129023.0,194570422804.0,39031.0,776737854448.0,2103880.35114
6,DK,2000,44645809315.5,26779002851.4,2813.3,68575801465.3,177737.01114
7,EE,2000,5901487458.55,5523380962.49,557.5,17216684556.8,6169.66662925
8,ES,2000,170332886395.0,78105543246.7,15004.3999998,290229767781.0,646250.747652
9,FI,2000,46718561605.7,22582560624.0,2412.7,66371621180.7,136104.975544
10,FR,2000,298105267323.0,114674605727.0,25033.0,378375861401.0,1474932.75725
11,GR,2000,55722420350.7,33049372809.6,4098.49999849,174859547160.0,142614.994475
12,HR,2000,13156726456.0,7012279140.38,1508.2,19754609675.2,23461.722973
13,HU,2000,50127840901.8,18695671530.9,3855.1,57757192710.1,51124.3086512
14,IE,2000,33884050030.6,34884523503.4,1576.6,56311000248.7,108132.461354
15,IT,2000,305232344028.0,96507925563.2,21209.5,398374513654.0,1238446.24743
16,LT,2000,12144994044.5,4609630991.02,1539.0,21547930627.7,12478.3186366
17,LU,2000,6421600424.19,3960014135.47,169.299958044,5297897785.89,23022.4106841
18,LV,2000,9907852468.45,3154792136.26,1016.1,11154385745.8,8607.09610379
19,MT,2000,3463766108.53,1124015345.41,148.209999559,2659943631.34,4388.63214096
20,NL,2000,141843922678.0,95324029681.5,7496.3019457,183568820458.0,450890.500584
21,PL,2000,87818111499.2,75185723078.0,14866.6934791,350408767290.0,186466.491757
22,PT,2000,39513042678.4,13454258029.6,4962.6,67447668859.8,128097.249353
23,RO,2000,16617901879.5,27554902653.2,10993.5957392,96813755222.2,40535.956308
24,SE,2000,74085486429.4,23800832497.8,4205.6,61510001810.9,284575.776707
25,SI,2000,11208758702.0,4919209606.74,912.7,14079792195.2,21969.6983719
26,SK,2000,30387648485.5,10786759289.6,2215.1,41156385808.9,22433.310863
27,GB,2000,348615505872.0,148570043451.0,27910.8772918,533050507875.0,1795275.02779
28,US,2000,1526233412760.0,502084947613.0,137353.1,4803631996860.0,11100419.0126
29,JP,2000,552048521567.0,175329068071.0,66789.9999967,1058656363460.0,5291814.35289
30,CN,2000,266880856448.0,802904062194.0,563268.6,4113395368660.0,1311532.21451
31,CA,2000,131656389689.0,222261788614.0,14740.915,552435822081.0,806381.320702
32,KR,2000,175748474264.0,110530567934.0,20307.8999982,398908205986.0,623840.827003
33,BR,2000,87764057440.8,67262721843.6,74079.5,703950082107.0,706323.183786
34,IN,2000,101717416888.0,194092362405.0,354791.133614,1554598069160.0,515534.901372
35,MX,2000,124576315075.0,71321728463.1,37125.0,393354823811.0,766468.020812
36,RU,2000,116735869567.0,911678306313.0,62938.1,1624882166500.0,283203.926166
37,AU,2000,98847460305.3,186876926128.0,8719.59999851,521482217212.0,442588.77005
38,CH,2000,79892267587.3,18377780545.0,3309.9,44669606461.3,302981.928818
39,TR,2000,84816354522.9,39457030356.6,21476.6,243646331769.0,296984.454876
40,TW,2000,154527363451.0,89363310530.0,8684.2,188491278747.0,351621.867792
41,NO,2000,40361916256.4,51274280259.7,2347.8,85394830842.6,185411.780651
42,ID,2000,68585417382.2,151609822052.0,88672.9,453171947050.0,190236.280209
43,ZA,2000,25632642128.7,131076325583.0,12531.4999994,314728504844.0,149887.117965
44,WA,2000,557883981208.0,890169134323.0,367642.0,1752760004800.0,992175.231566
45,WL,2000,214852171213.0,296721770533.0,93344.6369119,898504283552.0,1031218.99346
46,WE,2000,65087168605.1,190804906983.0,148838.0,494011496253.0,94508.9783583
47,WF,2000,123126262374.0,417411900860.0,252473.0,1212634001670.0,456768.004453
48,WM,2000,267247832724.0,576295015847.0,20901.1500862,1278158669460.0,870837.417737
0,AT,2001,51133315727.0,18183967146.4,3525.48,56519161792.9,220339.563782
1,BE,2001,83402645449.7,66560088330.4,4113.7,108189288218.0,264112.528872
2,BG,2001,8521569253.53,14786264524.0,2597.4,53344868605.1,15836.8125887
3,CY,2001,15390008565.3,3561380037.11,291.5,8648140244.18,11601.391678
4,CZ,2001,33859446435.5,37486081824.9,4859.22828201,126141899796.0,75713.1482511
5,DE,2001,405883934146.0,198705719621.0,39917.0,768024708437.0,2170712.35571
6,DK,2001,43687699759.2,26640060208.2,2814.49383721,65347792979.7,184000.747936
7,EE,2001,6717158134.93,6405965675.08,594.6,17349703701.8,6989.19698166
8,ES,2001,174655511737.0,81995866151.6,15847.6,305382708311.0,700403.291247
9,FI,2001,45513031222.3,22590647933.8,2450.99996624,66819108591.8,144506.332027
10,FR,2001,300784457358.0,110262650744.0,25672.0,364667064531.0,1536905.99278
11,GR,2001,56241497546.3,37646740489.0,4149.7,184052846270.0,152065.804783
12,HR,2001,13287363909.9,6921651184.18,1611.0,19536616638.6,25881.7340454
